"Item","Description","Ignore"
"0A","","1"
"0RPM","","1"
"0V","","1"
"100E","","1"
"10E","","1"
"128MB","",""
"12R","12R","1"
"12V","12V","1"
"12VDC","","1"
"14V","","1"
"15RPM","","1"
"16GB","","1"
"16M","","1"
"180C","","1"
"1A","","1"
"1GB","",""
"1RPM","","1"
"1TB","","1"
"1V","","1"
"1V8","","1"
"2012A","","1"
"20E","Eotvos",""
"240VAC","","1"
"24DC","","1"
"24R","24R","1"
"24V","24V","1"
"24VDC","","1"
"250C","","1"
"25RPM","","1"
"25W","25W","1"
"2A","","1"
"2D","",""
"2E","","1"
"2RPM","","1"
"2V","","1"
"300W","",""
"3A","","1"
"3D","3 Dimensional",""
"3R3","","1"
"3V","","1"
"3V3","","1"
"453R","","1"
"4A","","1"
"4E","","1"
"50W","50W","1"
"5A","","1"
"5MB","","1"
"5R","5R","1"
"5T","","1"
"5V","5V","1"
"5VDC","","1"
"600W","","1"
"6A","",""
"6E","","1"
"A","","1"
"A1","","1"
"A2","","1"
"AC","Alternating Current",""
"ACCURATELY","","1"
"ACDC","Alternating Current to Direct Current",""
"ACTIVE","","1"
"ADC","Analogue to Digital Converter",""
"ADC1","","1"
"ADC2","","1"
"AFE","Analogue Front End",""
"AI","Artificial intelligence",""
"AMD","",""
"AN5105","","1"
"AN5227","","1"
"AOK","","1"
"API","",""
"APP","","1"
"ARM","","1"
"AT25XE041B","","1"
"ATEX","Appareils destines a etre utilises en ATmospheres Explosives",""
"B","","1"
"B2B","Board to board",""
"BEL","","1"
"BG77","","1"
"BIAS","","1"
"BIT","Built-In- Test",""
"BLE","Bluetooth Low Energy",""
"BME680","","1"
"BNC","","1"
"BOA","","1"
"BOM","Bill of Materials",""
"BOOSTIK","","1"
"BQ25121A","","1"
"BS","","1"
"BUS","0","1"
"C","","1"
"C110","","1"
"C170","","1"
"C24","","1"
"C54","","1"
"CAM","","1"
"CAMERA","","1"
"CAN","Controller Area Network",""
"CAPACITIVE","","1"
"CCD","Charge-Coupled Device",""
"CE","Conformite Europeenne",""
"CEO","","1"
"CFR","","1"
"CH1","","1"
"CH2","","1"
"CH3","","1"
"CH4","Methane",""
"CO2","Carbon Dioxide",""
"COM","","1"
"COMP","","1"
"CPLD","Complex Progammable Logic Device",""
"CPU","Central Processing Unit",""
"CR123A","","1"
"CR2032","","1"
"CSA","1","1"
"CUI","","1"
"CV","Cyclic Voltammetry",""
"CXD5602","","1"
"D","","1"
"D1","","1"
"D3","","1"
"DAC","Digital to Analogue Converter",""
"DAQ","",""
"DB15","","1"
"DC","Direct Current",""
"DCDC","","1"
"DDR4","",""
"DDS","Direct Digital Synthesiser",""
"DET","","1"
"DF11","","1"
"DFU","Device Firmware Update",""
"DIN41612","","1"
"DMA","Direct Memory Access",""
"DMK33","",""
"DMM","Digital Multi-meter",""
"DNA","Deoxyribonucleic acid",""
"DNF","Do Not Fit",""
"DS891","","1"
"DVM","Digital Volt Meter",""
"DXF","","1"
"E","","1"
"EDFA","Erbium-doped Fiber Amplifier",""
"EMC","Electromagentic compatibility",""
"EMI","Electro-magnetic Interference",""
"EN","","1"
"EOM","Eclectr-optic Modulator",""
"EPR","Engineering Peer Review",""
"ERROR","","1"
"ESD","Electro-static Discharge",""
"ESP32","","1"
"EU","",""
"EXT","External",""
"F","","1"
"FAI","First Article Inspection",""
"FAIL","","1"
"FAN","","1"
"FAN1","","1"
"FBG","Fibre Bragg Gratings",""
"FCA","Functional Configuration Audit",""
"FCI","","1"
"FDA","Food and Drugs Administration",""
"FDC1004","","1"
"FGB","","1"
"FPGA","Field Programmable Gate Array",""
"FR4","FR4 Grade Glass-Reinforced Epoxy Laminate Material",""
"FTDI","FTDI","0"
"FTSH","","1"
"G","","1"
"GB","",""
"GCC","","1"
"GDRV","Low Dropout",""
"GGC","","1"
"GIT","","1"
"GND","Ground",""
"GNS","","1"
"GNSS","Global Navigation System",""
"GPIO","General Purpose Input Output",""
"GPS","Global Positioning System",""
"GTR","","1"
"GUI","Graphical User Interface",""
"H","","1"
"HAL","Hardware Extraction Layer",""
"HASL","",""
"HEATER","","1"
"HIGH","","1"
"HSA2512RJ","","1"
"HSA253R3J","","1"
"HSA255R0J","1","1"
"HSA5024RJ","","1"
"HSC","","1"
"HV","High Voltage",""
"I","",""
"I2","","1"
"I2C","Inter-Integrated Circuit","0"
"IC","Integrated Circuit","0"
"IC13","","1"
"ICC","","1"
"ICSP","In Circuit System Programming",""
"ID","Identification",""
"IDLE","","1"
"IEC","","1"
"IEC6010","","1"
"ILSP","Integrated Logistics Support Plan",""
"IMU","Inertial Measurement Unit",""
"INA195","","1"
"IO","Input Output",""
"ION","",""
"IP","Ingress Protection",""
"IP67","",""
"ISO","International Organization for Standardisation","1"
"J1","","1"
"J11","","1"
"J12","","1"
"J16","","1"
"J17","","1"
"J19","","1"
"J20","","1"
"J21","","1"
"J22","","1"
"J24","","1"
"J25","","1"
"J3","","1"
"J4","","1"
"J6","","1"
"J7","","1"
"J8","","1"
"JM2","","1"
"JSON","JavaScript Object Notation",""
"JTAG","Joint Test Action Group",""
"K","","1"
"L1H2","","1"
"L7809CV","","1"
"LAMP","Loop-mediated isothermal amplification",""
"LAN","Local Area Network",""
"LCD","Liquid Crystal Display","0"
"LDO","Low-Dropout Regulator",""
"LED","Light Emitting Diode",""
"LED10","","1"
"LED11","","1"
"LED12","","1"
"LED13","","1"
"LED14","","1"
"LED15","","1"
"LED16","","1"
"LED17","","1"
"LED18","","1"
"LED19","","1"
"LED8","","1"
"LED9","","1"
"LEDS","Light Emitting Diodes",""
"LIDAR","Light detection and ranging",""
"LOAD","LOAD","1"
"LOCKED","","1"
"LPS22HB","","1"
"LPS22HH","","1"
"LPS25H","","1"
"LPWA","","1"
"LSHM","","1"
"LSM6DS3","","1"
"LSM6DSOX","","1"
"LSM6DSRX","","1"
"LTF","Lateral Flow Test",""
"LVDS","Low Voltage Differential Signal",""
"MAC","Media Access Control",""
"MCU","Microcontroller",""
"MDRV","Motor drive",""
"MDRV1","","1"
"MDRV2","","1"
"ME","Medical Equipment",""
"MEASURING","","1"
"METHODS","","1"
"MHRA","",""
"MID","",""
"MIKRO","",""
"MIO","","1"
"MIPI","Mobile Industry Processor Interface",""
"MOD","Modification",""
"MOD1","","1"
"MOD3","","1"
"MODD2","","1"
"MOT","Magento Optical Trap",""
"MQTT","MQ Telemetry Transport",""
"MTB","Mountain Bike",""
