Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Reconcile,Reconcile Date,Rate/Price,Month
01/01/2017,4693ec4e333642cc865c53490665e32b,,Current Account Opening Balance,,CURRENCY::GBP,,,,Assets:Current Account,Current Account,"£8,844.90",8844.9,n,,1,2017-01
01/01/2017,4693ec4e333642cc865c53490665e32b,,Current Account Opening Balance,,,,,,Equity:Opening Balances,Opening Balances,"-£8,844.90",-8844.9,n,,1,2017-01
13/09/2017,db2ba32bd06a4c84990089412ba161c1,,SCREWFIX DIRECT :SPLIT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£7.62,-7.62,n,,1,2017-09
13/09/2017,db2ba32bd06a4c84990089412ba161c1,,SCREWFIX DIRECT :SPLIT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£7.62,7.62,n,,1,2017-09
13/09/2017,db2ba32bd06a4c84990089412ba161c1,,SCREWFIX DIRECT :SPLIT,,,,,,Expenses:Other Expenses:House Improvement:Front Room Refurb,Front Room Refurb,£4.49,4.49,n,,1,2017-09
13/09/2017,db2ba32bd06a4c84990089412ba161c1,,SCREWFIX DIRECT :SPLIT,,,,,,Assets:Current Account:House Renovation,House Renovation,-£4.49,-4.49,c,,1,2017-09
02/01/2018,331d5b04c14f4f7daff9c01cae661da3,,CURRYS::SPLIT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£253.98,-253.98,c,,1,2018-01
02/01/2018,331d5b04c14f4f7daff9c01cae661da3,,CURRYS::SPLIT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£54.98,54.98,n,,1,2018-01
02/01/2018,331d5b04c14f4f7daff9c01cae661da3,,CURRYS::SPLIT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£199.00,199,n,,1,2018-01
03/01/2018,38e088b72a754591acceb43466992512,,Photobox Limited:Photo Beths picture for G:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£3.49,-3.49,c,,1,2018-01
03/01/2018,38e088b72a754591acceb43466992512,,Photobox Limited:Photo Beths picture for G:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£3.49,3.49,n,,1,2018-01
04/01/2018,c01681569d2e43b68dbfb4b7d2730147,,B & Q 1298::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£12.00,-12,c,,1,2018-01
04/01/2018,c01681569d2e43b68dbfb4b7d2730147,,B & Q 1298::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£12.00,12,n,,1,2018-01
05/01/2018,45642e2ed454460cb623dc95176a65b5,,AMAZON SVCS EU-UK:Ink and soft chair feet:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£24.97,-24.97,c,,1,2018-01
05/01/2018,45642e2ed454460cb623dc95176a65b5,,AMAZON SVCS EU-UK:Ink and soft chair feet:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£24.97,24.97,n,,1,2018-01
05/01/2018,309a889ee3ca44d299e0726de7b9d88e,,AMAZON SVCS EU-UK:Picture Frames:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£31.68,-31.68,c,,1,2018-01
05/01/2018,309a889ee3ca44d299e0726de7b9d88e,,AMAZON SVCS EU-UK:Picture Frames:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£31.68,31.68,n,,1,2018-01
17/01/2018,8454599738f44d10973cbc68bdf89bea,,B & Q 1298:Hanger for Charlies Door:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£5.00,-5,c,,1,2018-01
17/01/2018,8454599738f44d10973cbc68bdf89bea,,B & Q 1298:Hanger for Charlies Door:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£5.00,5,n,,1,2018-01
23/01/2018,b6466d94039b45a28e724322870ab94e,,WWW.NMJI.CO.UK:House Insurance:ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£290.29,-290.29,c,,1,2018-01
23/01/2018,b6466d94039b45a28e724322870ab94e,,WWW.NMJI.CO.UK:House Insurance:ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Home Insurance,Home Insurance,£290.29,290.29,n,,1,2018-01
25/01/2018,48f93e695538446781fdea147d61558a,,LNK BOOTS CHELTENH::DEFAULT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£10.00,-10,c,,1,2018-01
25/01/2018,48f93e695538446781fdea147d61558a,,LNK BOOTS CHELTENH::DEFAULT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£10.00,10,n,,1,2018-01
02/02/2018,29b4bb0d98d54876bba475d56b17c709,,LOYD 189 BATH ROAD::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£10.00,-10,c,,1,2018-02
02/02/2018,29b4bb0d98d54876bba475d56b17c709,,LOYD 189 BATH ROAD::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£10.00,10,n,,1,2018-02
05/02/2018,6fb87dffa5d44f0eaaa7bd0e5b528594,,THE POST OFFICE::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£0.65,-0.65,c,,1,2018-02
05/02/2018,6fb87dffa5d44f0eaaa7bd0e5b528594,,THE POST OFFICE::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£0.65,0.65,n,,1,2018-02
06/02/2018,c9f6e142acf54a8386505249084b4574,,HALFORDS 0741:Wiper blade for Corsa:CORSA_MAINTENANCE,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£10.00,-10,c,,1,2018-02
06/02/2018,c9f6e142acf54a8386505249084b4574,,HALFORDS 0741:Wiper blade for Corsa:CORSA_MAINTENANCE,,,,,,Expenses:Annual Expenses:Corsa Maintainance,Corsa Maintainance,£10.00,10,n,,1,2018-02
08/02/2018,d9fd7077641841489297e9268724480a,,LNK MID COUNTIES C::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£20.00,-20,c,,1,2018-02
08/02/2018,d9fd7077641841489297e9268724480a,,LNK MID COUNTIES C::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£20.00,20,n,,1,2018-02
09/02/2018,a261dae24270400a9c54d58f9a3ebd3b,,RS COMPONENTS:Ethernet cables for PCB and TV:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£7.38,-7.38,c,,1,2018-02
09/02/2018,a261dae24270400a9c54d58f9a3ebd3b,,RS COMPONENTS:Ethernet cables for PCB and TV:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£7.38,7.38,n,,1,2018-02
12/02/2018,72a83c79f56e43e0b1710dea54f4bd6e,,DUNELM LTD:Table cloth:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£22.00,-22,c,,1,2018-02
12/02/2018,72a83c79f56e43e0b1710dea54f4bd6e,,DUNELM LTD:Table cloth:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£22.00,22,n,,1,2018-02
